Date,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,SP500,T10Y3M,DGS10,DEXUSEU,CBBTCUSD,T10YIE,VIXCLS,DAAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,DGS1,RSI_14,OBV,Close_EMA_50,ROC_10,Momentum_10,SMA_50,SMA_200,VIX_Close
2021-08-17,515.469970703125,520.7899780273438,514.2000122070312,518.9099731445312,518.9099731445312,2309800.0,0.989990234375,0.001909648789463425,4448.08,1.19,1.26,1.1714,44718.51,2.33,17.91,2.54,0.10683871,2.49,3.37,0.07,49.621712181578154,-6834000.0,517.9321170061218,1.5837214095605567,8.0899658203125,517.023198852539,516.2269490051269,17.90999984741211
2021-08-18,520.0,526.3800048828125,518.6500244140625,521.8699951171875,521.8699951171875,2582000.0,2.96002197265625,0.005688099394198787,4400.27,1.2,1.27,1.1702,44735.2,2.32,21.57,2.53,0.10462585,2.48,3.35,0.07,57.7031861423355,-4252000.0,518.0865435987125,0.873687009674784,4.52001953125,517.5673986816406,516.1265989685058,21.56999969482422
2021-08-19,522.739990234375,548.3900146484375,521.8699951171875,543.7100219726562,543.7100219726562,7497300.0,21.84002685546875,0.0409975515265284,4405.8,1.18,1.24,1.1693,46736.74,2.28,21.67,2.52,0.11283019,2.45,3.42,0.06,69.22624204851026,3245300.0,519.0913858878869,3.5855144504556957,18.82000732421875,518.593798828125,516.1911991882324,21.670000076293945
2021-08-20,545.0900268554688,551.3900146484375,539.0999755859375,546.8800048828125,546.8800048828125,3776400.0,3.16998291015625,0.0058133519646643705,4441.67,1.21,1.26,1.169,49350.99,2.27,18.56,2.51,0.0971,2.4,3.37,0.06,73.0830505659935,7021700.0,520.1811356523938,5.0581150143673925,26.33001708984375,519.8151989746094,516.2719993591309,18.559999465942383
2021-08-23,545.97998046875,555.5499877929688,543.739990234375,553.3300170898438,553.3300170898438,2602000.0,6.45001220703125,0.011725190597678292,4479.53,1.2,1.25,1.1732,49464.66,2.27,17.15,2.49,0.11168000000000002,2.43,3.34,0.07,79.9999913853035,9623700.0,521.4810917871957,6.415764037605465,33.36004638671875,521.1363995361328,516.4115495300293,17.149999618530273
2021-08-24,551.47998046875,555.3099975585938,549.27001953125,553.4099731445312,553.4099731445312,2109500.0,0.0799560546875,0.00014448932094612843,4486.23,1.24,1.29,1.1746,47770.4,2.3,17.22,2.53,0.08972000000000001,2.45,3.26,0.06,77.99688190080843,11733200.0,522.7332047816011,7.283255337529115,37.5699462890625,522.42919921875,516.7333494567871,17.219999313354492
2021-08-25,550.1599731445312,552.8400268554688,545.4500122070312,547.5800170898438,547.5800170898438,2065600.0,-5.8299560546875,-0.0105904878267582,4496.19,1.29,1.35,1.1758,48985.05,2.35,16.79,2.58,0.09227,2.51,3.22,0.07,68.09700402682472,9667600.0,523.7075895780027,6.865728141994154,35.17999267578125,523.3829992675782,517.0450994873047,16.790000915527344
2021-08-26,546.1599731445312,552.5999755859375,545.9000244140625,550.1199951171875,550.1199951171875,1595500.0,2.53997802734375,0.004627826423020842,4470.0,1.29,1.34,1.1761,46770.6,2.33,18.84,2.57,0.09905000000000001,2.5,3.2,0.07,74.28154006535554,11263100.0,524.7433701873825,7.714597783974009,39.399993896484375,524.5473992919922,517.3542994689941,18.84000015258789
2021-08-27,551.5999755859375,564.1699829101562,549.25,558.9199829101562,558.9199829101562,3252600.0,8.79998779296875,0.01586989226509683,4509.37,1.26,1.31,1.1794,49082.04,2.39,16.39,2.54,0.09551000000000001,2.53,3.17,0.07,78.17977807923018,14515700.0,526.0836295098443,8.334625799421325,43.0,525.8775988769531,517.707699432373,16.389999389648438
2021-08-30,557.25,567.1599731445312,556.4500122070312,566.1799926757812,566.1799926757812,2434800.0,7.260009765625,0.01290571627467152,4528.79,1.24,1.29,1.1795,46924.16,2.37,16.19,2.51,0.11218000000000002,2.51,3.16,0.08,84.84220318204362,16950500.0,527.6560359085084,9.318043589369807,48.260009765625,527.234398803711,518.093949432373,16.190000534057617
